0,1,0
1,5,0
2,5,0
3,5,0
4,5,0
5,5,0
6,5,0
7,5,0
8,5,0
9,5,0
10,5,0
11,5,0
12,5,0
13,5,0
14,5,0
15,5,0
16,5,0
17,5,0
18,5,0
19,5,0
20,5,0
21,5,0
22,5,0
23,5,0
24,5,0
25,5,0
26,5,0
27,5,0
28,5,0
29,5,0
30,5,0
31,5,0
32,5,0
33,5,0
34,5,0
35,5,0
36,4,0
37,4,0
38,4,0
39,4,0
40,4,0
41,4,0
42,4,0
43,4,0
44,4,0
45,4,0
46,4,0
47,4,0
48,4,0
49,4,0
50,4,0
51,4,0
52,4,0
53,4,0
54,4,0
55,4,0
56,4,0
57,2,0
58,1,0
59,1,0
60,1,0
61,1,0
62,1,0
63,1,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,10,0
79,10,0
80,10,0
81,10,0
82,10,0
83,10,0
84,10,0
85,10,0
86,10,0
87,10,0
88,10,0
89,10,0
90,10,0
91,10,0
92,9,0
93,9,0
94,9,0
95,9,0
96,9,0
97,9,0
98,9,0
99,6,0
100,1,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,3,0
113,3,0
114,3,0
115,3,0
116,3,0
117,3,0
118,3,0
119,3,0
120,3,0
121,3,0
122,2,0
123,1,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,1,1
132,1,1
133,1,1
134,1,1
135,1,1
136,1,1
137,0,1
138,0,1
139,0,1
140,0,1
141,0,1
142,0,1
143,0,1
144,0,1
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,1,1
152,1,1
153,1,1
154,1,1
155,1,1
156,1,1
157,1,1
158,0,1
159,0,1
160,0,1
161,0,1
162,0,1
163,0,1
164,0,0
